id_transacao,valor,horario,tipo_chave,dispositivo,localizacao,suspeita_fraude,fraude_pix
1,2854.79,2025-09-21 21:26:00,Email,iOS,Campinas - SP,Sim,Sim
2,728.05,2025-09-17 05:54:00,CPF,Android,Curitiba - PR,Não,Não
3,1556.47,2025-09-10 02:22:00,Email,iOS,Santos - SP,Sim,Sim
4,1507.88,2025-09-21 00:52:00,Aleatória,iOS,Fortaleza - CE,Sim,Sim
5,3543.13,2025-09-19 07:04:00,Celular,Windows,Uberlândia - MG,Sim,Sim
6,4701.33,2025-09-15 15:26:00,Celular,Windows,Santos - SP,Sim,Sim
7,3821.58,2025-09-19 22:23:00,Email,iOS,Teresina - PI,Sim,Sim
8,747.06,2025-09-30 09:24:00,Email,Windows,Uberlândia - MG,Sim,Sim
9,4343.41,2025-09-02 09:02:00,Email,iOS,Belo Horizonte - MG,Sim,Sim
10,1849.07,2025-09-21 10:10:00,Aleatória,Windows,Campinas - SP,Sim,Sim
11,2255.24,2025-09-28 22:10:00,Email,Windows,Campinas - SP,Sim,Sim
12,1975.02,2025-09-29 06:24:00,CPF,Android,Londrina - PR,Sim,Sim
13,3109.06,2025-09-15 11:26:00,CPF,iOS,Belo Horizonte - MG,Sim,Sim
14,3467.5,2025-09-17 01:44:00,Celular,Windows,Fortaleza - CE,Sim,Sim
15,1270.96,2025-09-03 17:37:00,Celular,Android,Aracaju - SE,Sim,Sim
16,788.39,2025-09-14 15:21:00,CPF,Windows,Uberlândia - MG,Sim,Sim
17,450.76,2025-09-25 01:36:00,Aleatória,Windows,Porto Alegre - RS,Sim,Não
18,3867.3,2025-09-01 22:44:00,Celular,iOS,Londrina - PR,Sim,Sim
19,1225.31,2025-09-01 15:38:00,CPF,iOS,João Pessoa - PB,Sim,Sim
20,1780.62,2025-09-25 11:43:00,Aleatória,iOS,Belo Horizonte - MG,Sim,Sim
21,3190.99,2025-09-18 21:57:00,CPF,Windows,Belo Horizonte - MG,Sim,Sim
22,754.13,2025-09-18 11:51:00,Celular,Android,Recife - PE,Não,Não
23,1755.56,2025-09-27 22:24:00,CPF,Android,Curitiba - PR,Sim,Sim
24,1541.53,2025-09-23 00:11:00,Aleatória,Windows,Manaus - AM,Sim,Sim
25,1521.63,2025-09-07 03:38:00,CPF,Windows,Campo Grande - MS,Sim,Sim
26,1282.87,2025-09-15 04:05:00,Celular,iOS,Belo Horizonte - MG,Sim,Sim
27,4422.48,2025-09-01 12:14:00,CPF,Android,Vitória - ES,Sim,Sim
28,4798.06,2025-09-14 19:04:00,Celular,Android,Salvador - BA,Sim,Sim
29,3157.15,2025-09-04 06:30:00,Aleatória,Windows,Joinville - SC,Sim,Sim
30,3344.2,2025-09-05 19:21:00,Aleatória,iOS,Joinville - SC,Sim,Sim
31,1319.01,2025-09-14 23:49:00,CPF,Android,Vitória - ES,Sim,Sim
32,1580.52,2025-09-16 10:12:00,CPF,Windows,Belo Horizonte - MG,Sim,Sim
33,1403.91,2025-09-05 15:26:00,Email,iOS,Curitiba - PR,Sim,Sim
34,4024.67,2025-09-13 13:25:00,CPF,Android,Vitória - ES,Sim,Sim
35,4174.72,2025-09-24 22:10:00,Aleatória,Windows,Florianópolis - SC,Sim,Sim
36,2203.23,2025-09-08 15:44:00,Aleatória,iOS,Belo Horizonte - MG,Sim,Sim
37,3514.82,2025-09-04 04:58:00,Celular,Android,Joinville - SC,Sim,Sim
38,1304.55,2025-09-13 10:42:00,Email,Windows,Porto Alegre - RS,Sim,Sim
39,4868.15,2025-09-11 23:59:00,Celular,iOS,Aracaju - SE,Sim,Sim
40,38.64,2025-09-30 14:45:00,Email,iOS,Teresina - PI,Não,Não
41,2567.24,2025-09-16 21:51:00,Celular,iOS,Santos - SP,Sim,Sim
42,481.9,2025-09-18 09:29:00,Email,iOS,Manaus - AM,Não,Não
43,115.21,2025-09-16 19:20:00,Email,Windows,Campinas - SP,Sim,Não
44,2861.04,2025-09-06 09:32:00,Celular,iOS,Londrina - PR,Sim,Sim
45,4818.67,2025-09-15 06:11:00,Celular,iOS,Teresina - PI,Sim,Sim
46,987.18,2025-09-23 17:42:00,Celular,Android,Porto Alegre - RS,Não,Não
47,3215.42,2025-09-02 22:53:00,Email,Windows,Santos - SP,Sim,Sim
48,2379.48,2025-09-22 11:53:00,CPF,Windows,Uberlândia - MG,Sim,Sim
49,550.85,2025-09-16 06:34:00,Aleatória,Windows,Joinville - SC,Sim,Sim
50,3049.28,2025-09-18 00:16:00,Celular,Android,Niterói - RJ,Sim,Sim
51,1631.96,2025-09-07 11:21:00,Aleatória,Windows,Florianópolis - SC,Sim,Sim
52,3107.07,2025-09-29 11:11:00,Celular,Windows,Santos - SP,Sim,Sim
53,3553.04,2025-09-08 04:50:00,Email,Android,João Pessoa - PB,Sim,Sim
54,2037.44,2025-09-16 18:48:00,Email,iOS,Florianópolis - SC,Sim,Sim
55,1166.23,2025-09-29 01:15:00,CPF,Android,Recife - PE,Sim,Sim
56,144.16,2025-09-28 15:59:00,CPF,Android,São Paulo - SP,Não,Não
57,1204.8,2025-09-02 05:38:00,Aleatória,iOS,Fortaleza - CE,Sim,Sim
58,4336.85,2025-09-27 04:08:00,CPF,Android,Porto Alegre - RS,Sim,Sim
59,1528.64,2025-09-24 06:01:00,Email,iOS,Florianópolis - SC,Sim,Sim
60,769.59,2025-09-02 21:33:00,CPF,Android,Campo Grande - MS,Não,Não
61,3731.53,2025-09-14 20:14:00,Aleatória,iOS,Aracaju - SE,Sim,Sim
62,1265.18,2025-09-25 14:37:00,Aleatória,iOS,Belo Horizonte - MG,Sim,Sim
63,754.47,2025-09-17 12:47:00,Celular,Android,Florianópolis - SC,Não,Não
64,3998.12,2025-09-30 21:09:00,Aleatória,iOS,Uberlândia - MG,Sim,Sim
65,177.03,2025-09-25 19:59:00,Email,Windows,Campinas - SP,Sim,Não
66,1517.34,2025-09-23 11:59:00,Email,Windows,Fortaleza - CE,Sim,Sim
67,4529.46,2025-09-11 00:24:00,Aleatória,Windows,João Pessoa - PB,Sim,Sim
68,1712.39,2025-09-10 22:46:00,Celular,Android,Campo Grande - MS,Sim,Sim
69,601.75,2025-09-06 02:12:00,CPF,Android,Londrina - PR,Sim,Sim
70,4405.76,2025-09-03 06:53:00,Email,Android,Florianópolis - SC,Sim,Sim
71,4800.65,2025-09-10 16:31:00,CPF,iOS,Campo Grande - MS,Sim,Sim
72,3849.11,2025-09-12 23:00:00,Celular,iOS,Aracaju - SE,Sim,Não
73,2100.57,2025-09-18 10:52:00,Aleatória,Android,São Paulo - SP,Não,Não
74,3708.34,2025-09-29 05:32:00,Email,Windows,João Pessoa - PB,Não,Não
75,2701.45,2025-09-18 18:40:00,Email,Android,Niterói - RJ,Não,Não
76,1905.16,2025-09-13 01:33:00,Celular,Windows,Salvador - BA,Não,Não
77,4352.11,2025-09-09 15:44:00,CPF,Windows,Belo Horizonte - MG,Sim,Não
78,3774.25,2025-09-10 13:01:00,Celular,iOS,Campo Grande - MS,Não,Não
79,4072.85,2025-09-29 02:56:00,Celular,iOS,João Pessoa - PB,Não,Não
80,4188.09,2025-09-01 06:34:00,Aleatória,Windows,Londrina - PR,Sim,Não
81,2061.53,2025-09-16 00:30:00,CPF,Android,Aracaju - SE,Sim,Não
82,3861.93,2025-09-17 22:48:00,Aleatória,Android,Florianópolis - SC,Sim,Não
83,1099.04,2025-09-25 15:54:00,CPF,Android,Curitiba - PR,Não,Não
84,3752.4,2025-09-17 00:47:00,Celular,iOS,Vitória - ES,Não,Não
85,2715.68,2025-09-25 12:28:00,Email,iOS,Santos - SP,Sim,Não
86,1572.02,2025-09-05 10:38:00,Aleatória,Windows,Florianópolis - SC,Sim,Não
87,1251.75,2025-09-25 12:20:00,Celular,Windows,Curitiba - PR,Sim,Não
88,4819.18,2025-09-08 05:07:00,Celular,Android,Salvador - BA,Sim,Não
89,479.93,2025-09-02 03:04:00,Celular,iOS,Salvador - BA,Não,Não
90,1498.77,2025-09-23 12:28:00,Celular,Windows,Aracaju - SE,Não,Não
91,2606.19,2025-09-09 20:41:00,CPF,Windows,João Pessoa - PB,Não,Não
92,1621.98,2025-09-02 12:31:00,Email,Windows,Joinville - SC,Não,Não
93,4689.1,2025-09-01 17:59:00,Aleatória,Android,Joinville - SC,Não,Não
94,3140.02,2025-09-13 13:21:00,Email,iOS,Santos - SP,Sim,Não
95,4281.1,2025-09-03 19:12:00,Email,Android,Curitiba - PR,Sim,Não
96,4704.77,2025-09-27 11:51:00,Email,Android,Belo Horizonte - MG,Sim,Não
97,1409.69,2025-09-11 16:22:00,Aleatória,iOS,Uberlândia - MG,Sim,Não
98,2114.78,2025-09-04 00:28:00,Email,iOS,Manaus - AM,Sim,Não
99,3632.41,2025-09-01 19:45:00,Aleatória,Android,João Pessoa - PB,Não,Não
100,249.28,2025-09-27 22:33:00,Aleatória,Android,Uberlândia - MG,Não,Não
101,2685.77,2025-09-12 13:47:00,Aleatória,Android,Vitória - ES,Não,Não
102,784.87,2025-09-18 10:21:00,Celular,Windows,Campinas - SP,Sim,Não
103,3155.4,2025-09-19 18:26:00,Celular,Android,Londrina - PR,Sim,Não
104,2217.95,2025-09-13 05:17:00,Aleatória,Windows,Niterói - RJ,Não,Não
105,2760.1,2025-09-22 23:47:00,Email,iOS,Porto Alegre - RS,Não,Não
106,3186.21,2025-09-09 08:46:00,Aleatória,iOS,Vitória - ES,Sim,Não
107,1183.68,2025-09-26 07:27:00,Email,iOS,São Paulo - SP,Não,Não
108,2983.18,2025-09-29 00:39:00,Email,Android,Florianópolis - SC,Sim,Não
109,3100.17,2025-09-27 07:30:00,Celular,Android,Porto Alegre - RS,Não,Não
110,3552.0,2025-09-27 09:01:00,Celular,Android,Campinas - SP,Não,Não
111,1982.64,2025-09-24 03:12:00,CPF,Windows,Niterói - RJ,Sim,Não
112,557.09,2025-09-14 00:24:00,Aleatória,iOS,Santos - SP,Não,Não
113,1409.34,2025-09-16 22:46:00,Celular,Windows,Porto Alegre - RS,Sim,Não
114,2137.65,2025-09-01 15:53:00,Celular,Android,Vitória - ES,Sim,Não
115,4477.17,2025-09-20 05:54:00,CPF,Android,Santos - SP,Sim,Não
116,55.54,2025-09-18 15:52:00,Email,iOS,Campinas - SP,Não,Não
117,2858.86,2025-09-27 01:39:00,CPF,Windows,Aracaju - SE,Não,Não
118,4532.55,2025-09-23 14:15:00,Email,Windows,Manaus - AM,Sim,Não
119,1406.83,2025-09-09 15:12:00,Celular,iOS,Joinville - SC,Sim,Não
120,1789.4,2025-09-23 16:00:00,Celular,Windows,João Pessoa - PB,Sim,Não
121,496.53,2025-09-13 07:42:00,Aleatória,Android,Belo Horizonte - MG,Não,Não
122,3701.02,2025-09-29 11:05:00,Aleatória,Android,Campinas - SP,Não,Não
123,332.64,2025-09-18 01:03:00,Email,iOS,São Paulo - SP,Não,Não
124,3656.13,2025-09-18 04:41:00,Email,Windows,Recife - PE,Não,Não
125,3371.81,2025-09-26 20:54:00,CPF,Windows,Londrina - PR,Sim,Não
126,1972.22,2025-09-25 06:28:00,Celular,Android,Salvador - BA,Não,Não
127,4670.24,2025-09-18 17:26:00,Email,Windows,Salvador - BA,Não,Não
128,2426.26,2025-09-13 19:55:00,Celular,Windows,Belo Horizonte - MG,Não,Não
129,3410.4,2025-09-24 19:53:00,Email,iOS,Manaus - AM,Não,Não
130,3382.36,2025-09-03 07:21:00,CPF,Android,Aracaju - SE,Sim,Não
131,3112.52,2025-09-05 14:51:00,CPF,iOS,Salvador - BA,Sim,Não
132,1664.05,2025-09-22 09:14:00,CPF,Windows,Joinville - SC,Sim,Não
133,2696.35,2025-09-05 11:19:00,Celular,Android,Campinas - SP,Sim,Não
134,3114.2,2025-09-09 01:01:00,Celular,Windows,Teresina - PI,Sim,Não
135,2500.97,2025-09-13 23:39:00,CPF,Windows,Fortaleza - CE,Sim,Não
136,1483.37,2025-09-20 11:25:00,Aleatória,iOS,Joinville - SC,Sim,Não
137,1667.3,2025-09-21 06:10:00,Aleatória,Android,Fortaleza - CE,Não,Não
138,1534.16,2025-09-25 11:08:00,Email,Windows,Vitória - ES,Sim,Não
139,571.31,2025-09-09 19:03:00,Email,iOS,Aracaju - SE,Não,Não
140,4999.66,2025-09-28 04:09:00,Email,iOS,Campinas - SP,Não,Não
141,3909.46,2025-09-05 06:16:00,Aleatória,Windows,Campo Grande - MS,Não,Não
142,4742.56,2025-09-22 23:06:00,Celular,Windows,Aracaju - SE,Sim,Não
143,3439.47,2025-09-25 09:01:00,Email,iOS,Campinas - SP,Sim,Não
144,175.73,2025-09-24 11:28:00,Celular,Windows,Joinville - SC,Sim,Não
145,4373.84,2025-09-06 16:50:00,CPF,iOS,Niterói - RJ,Sim,Não
146,414.59,2025-09-27 17:05:00,CPF,iOS,Teresina - PI,Não,Não
147,3983.81,2025-09-28 03:54:00,Aleatória,Windows,Salvador - BA,Não,Não
148,1477.75,2025-09-14 11:16:00,Celular,iOS,Campinas - SP,Sim,Não
149,1198.76,2025-09-27 01:23:00,Email,Windows,Florianópolis - SC,Não,Não
150,51.78,2025-09-04 10:59:00,Email,iOS,Curitiba - PR,Não,Não
151,430.52,2025-09-30 09:53:00,CPF,Android,Curitiba - PR,Não,Não
152,2122.99,2025-09-29 08:34:00,Email,Windows,Florianópolis - SC,Não,Não
153,1051.59,2025-09-03 11:57:00,Celular,Windows,Belo Horizonte - MG,Não,Não
154,845.37,2025-09-11 09:12:00,CPF,iOS,Teresina - PI,Não,Não
155,1503.82,2025-09-25 03:13:00,Celular,Android,Belo Horizonte - MG,Não,Não
156,1987.18,2025-09-21 17:46:00,Aleatória,Windows,Santos - SP,Não,Não
157,3194.3,2025-09-07 05:15:00,CPF,Android,Campinas - SP,Não,Não
158,2878.88,2025-09-06 12:53:00,CPF,iOS,Campinas - SP,Não,Não
159,3883.81,2025-09-19 09:38:00,Celular,iOS,Niterói - RJ,Sim,Não
160,894.1,2025-09-26 00:06:00,Email,Android,Porto Alegre - RS,Não,Não
161,593.71,2025-09-08 21:57:00,Celular,iOS,Curitiba - PR,Não,Não
162,990.45,2025-09-14 10:09:00,CPF,Android,Vitória - ES,Não,Não
163,4168.58,2025-09-17 09:02:00,Email,Android,Niterói - RJ,Não,Não
164,634.85,2025-09-12 06:56:00,Celular,Android,Teresina - PI,Não,Não
165,3188.21,2025-09-21 01:14:00,Celular,Windows,São Paulo - SP,Não,Não
166,2918.22,2025-09-01 23:41:00,Aleatória,iOS,Recife - PE,Sim,Não
167,499.99,2025-09-02 21:28:00,CPF,Windows,Aracaju - SE,Sim,Não
168,4602.2,2025-09-22 20:07:00,Email,Android,Niterói - RJ,Sim,Não
169,1443.81,2025-09-02 20:37:00,Aleatória,iOS,Aracaju - SE,Não,Não
170,4061.21,2025-09-08 01:45:00,Celular,Android,Fortaleza - CE,Não,Não
171,4519.74,2025-09-06 17:30:00,Celular,iOS,Salvador - BA,Sim,Não
172,48.25,2025-09-05 23:33:00,Celular,Android,Fortaleza - CE,Sim,Não
173,2247.2,2025-09-03 10:16:00,Celular,Windows,Niterói - RJ,Não,Não
174,1752.15,2025-09-20 05:17:00,CPF,Windows,Aracaju - SE,Sim,Não
175,760.89,2025-09-09 03:24:00,Celular,Windows,Recife - PE,Sim,Não
176,4574.14,2025-09-12 23:25:00,CPF,Windows,Uberlândia - MG,Não,Não
177,4906.29,2025-09-11 01:36:00,Email,iOS,Manaus - AM,Não,Não
178,210.28,2025-09-14 03:32:00,Email,iOS,Joinville - SC,Não,Não
179,3966.48,2025-09-24 23:24:00,Celular,Windows,Londrina - PR,Não,Não
180,4135.6,2025-09-18 05:19:00,Email,iOS,Florianópolis - SC,Sim,Não
